Prueba 1
N	basico	eficiente
50000	0.228	0.092
70000	0.111	0.09
90000	0.079	0.044
110000	0.063	0.033
130000	0.078	0.044
150000	0.083	0.041
170000	0.094	0.068
190000	0.097	0.049
210000	0.101	0.053
230000	0.11	0.08
250000	0.139	0.064
270000	0.125	0.076
290000	0.135	0.074
310000	0.167	0.119
330000	0.169	0.085
350000	0.168	0.093
370000	0.173	0.095
390000	0.18	0.108
410000	0.19	0.105
430000	0.208	0.11
Prueba 2
N	basico	eficiente
50000	0.022	0.014
70000	0.032	0.019
90000	0.041	0.025
110000	0.051	0.031
130000	0.06	0.04
150000	0.073	0.038
170000	0.079	0.043
190000	0.093	0.048
210000	0.096	0.057
230000	0.107	0.059
250000	0.115	0.064
270000	0.127	0.074
290000	0.134	0.074
310000	0.145	0.087
330000	0.153	0.084
350000	0.164	0.097
370000	0.171	0.094
390000	0.18	0.109
410000	0.189	0.107
430000	0.209	0.109
Prueba 3
N	basico	eficiente
50000	0.022	0.013
70000	0.032	0.018
90000	0.043	0.023
110000	0.053	0.028
130000	0.062	0.032
150000	0.07	0.04
170000	0.079	0.043
190000	0.09	0.048
210000	0.102	0.053
230000	0.109	0.058
250000	0.115	0.063
270000	0.139	0.068
290000	0.134	0.076
310000	0.149	0.084
330000	0.153	0.086
350000	0.167	0.093
370000	0.171	0.102
390000	0.18	0.101
410000	0.199	0.104
430000	0.2	0.117
Prueba 4
N	basico	eficiente
50000	0.023	0.013
70000	0.032	0.018
90000	0.041	0.022
110000	0.054	0.028
130000	0.061	0.033
150000	0.069	0.041
170000	0.082	0.043
190000	0.09	0.048
210000	0.096	0.054
230000	0.123	0.065
250000	0.116	0.063
270000	0.128	0.068
290000	0.14	0.078
310000	0.143	0.083
330000	0.158	0.086
350000	0.162	0.092
370000	0.176	0.096
390000	0.181	0.11
410000	0.192	0.108
430000	0.202	0.118
Prueba 5
N	basico	eficiente
50000	0.022	0.012
70000	0.032	0.018
90000	0.041	0.022
110000	0.054	0.029
130000	0.06	0.033
