Prueba 1
N	basico	eficiente
50000	226	61
70000	114	97
90000	85	48
110000	59	33
130000	78	41
150000	74	40
170000	87	67
190000	98	47
210000	102	53
230000	116	78
250000	140	62
270000	125	75
290000	135	73
310000	161	117
330000	166	84
350000	163	88
370000	175	94
390000	181	106
410000	191	102
430000	207	107
Prueba 2
N	basico	eficiente
50000	23	14
70000	32	19
90000	42	24
110000	52	30
130000	60	33
150000	71	39
170000	78	43
190000	90	47
210000	97	57
230000	107	57
250000	116	62
270000	132	67
290000	134	73
310000	143	85
330000	152	83
350000	169	87
370000	171	92
390000	189	97
410000	189	109
430000	200	107
Prueba 3
N	basico	eficiente
50000	23	12
70000	31	18
90000	42	25
110000	52	27
130000	60	32
150000	70	39
170000	80	42
190000	94	47
210000	97	52
230000	107	57
250000	121	62
270000	127	67
290000	140	74
310000	143	81
330000	160	83
350000	162	95
370000	171	93
390000	187	98
410000	190	103
430000	208	107
Prueba 4
N	basico	eficiente
50000	23	12
70000	33	17
90000	41	23
110000	52	30
130000	60	32
150000	70	40
170000	85	43
190000	89	47
210000	100	53
230000	107	57
250000	116	67
270000	127	67
290000	135	74
310000	148	77
330000	152	88
350000	163	88
370000	179	93
390000	181	97
410000	198	101
430000	200	114
Prueba 5
N	basico	eficiente
50000	23	12
70000	32	17
90000	41	22
110000	51	27
130000	60	32
150000	69	42
170000	78	42
190000	89	47
210000	97	53
230000	112	57
250000	115	62
270000	127	72
290000	135	73
310000	144	84
330000	152	83
350000	162	94
370000	172	93
390000	180	106
410000	190	104
430000	217	107
Prueba 6
N	basico	eficiente
50000	22	12
70000	31	17
90000	41	23
110000	51	27
130000	63	32
150000	70	38
170000	79	42
190000	100	48
210000	102	52
230000	109	57
250000	115	67
270000	126	68
290000	134	79
310000	143	79
330000	152	88
350000	162	87
370000	178	92
390000	182	98
410000	198	102
430000	200	114
Prueba 7
N	basico	eficiente
50000	22	13
70000	32	17
90000	42	22
110000	51	28
130000	59	32
150000	69	39
170000	82	42
190000	89	47
210000	97	52
230000	112	57
250000	115	62
270000	126	67
290000	136	73
310000	144	79
330000	155	83
350000	162	94
370000	172	93
390000	187	97
410000	190	109
430000	199	106
Prueba 8
N	basico	eficiente
50000	23	14
70000	32	17
90000	41	23
110000	51	27
130000	61	32
150000	70	38
170000	81	41
190000	88	47
210000	97	52
230000	112	57
250000	115	62
270000	131	67
290000	135	74
310000	149	78
330000	153	89
350000	162	88
370000	172	95
390000	181	98
410000	193	103
430000	207	106
Prueba 9
N	basico	eficiente
50000	23	13
70000	32	17
90000	42	22
110000	55	27
130000	59	33
150000	70	38
170000	78	46
190000	89	47
210000	97	52
230000	112	57
250000	116	62
270000	132	67
290000	134	80
310000	143	79
330000	180	83
350000	162	93
370000	172	92
390000	188	98
410000	191	116
430000	213	107
Prueba 10
N	basico	eficiente
50000	22	13
70000	32	17
90000	42	22
110000	52	29
130000	60	32
150000	70	38
170000	78	42
190000	89	51
210000	97	53
230000	107	57
250000	120	62
270000	126	67
290000	135	78
310000	144	79
330000	158	83
350000	163	88
370000	177	93
390000	181	98
410000	189	102
430000	207	107
Prueba 11
N	basico	eficiente
50000	22	12
70000	32	17
90000	41	22
110000	51	27
130000	62	33
150000	72	38
170000	78	42
190000	89	50
210000	97	52
230000	107	57
250000	120	62
270000	126	67
290000	139	74
310000	145	83
330000	152	84
350000	163	96
370000	171	93
390000	187	98
410000	190	103
430000	212	107
Prueba 12
N	basico	eficiente
50000	23	12
70000	32	17
90000	41	22
110000	51	29
130000	60	32
150000	70	37
170000	79	42
190000	89	50
210000	97	53
230000	108	57
250000	116	66
270000	125	67
290000	134	78
310000	143	79
330000	153	88
350000	163	89
370000	171	102
390000	180	97
410000	198	102
430000	200	114
Prueba 13
N	basico	eficiente
50000	23	12
70000	32	18
90000	41	22
110000	51	28
130000	60	32
150000	69	38
170000	82	43
190000	91	47
210000	97	52
230000	108	62
250000	116	62
270000	126	67
290000	137	74
310000	144	78
330000	154	82
350000	162	95
370000	172	93
390000	188	98
410000	190	110
430000	200	106
Prueba 14
N	basico	eficiente
50000	23	14
70000	32	17
90000	42	22
110000	52	28
130000	60	33
150000	69	39
170000	83	42
190000	90	47
210000	97	52
230000	112	57
250000	116	62
270000	132	67
290000	134	73
310000	149	78
330000	153	90
350000	162	88
370000	175	93
390000	180	98
410000	194	102
430000	207	107
Prueba 15
N	basico	eficiente
50000	22	12
70000	32	18
90000	41	22
110000	51	31
130000	60	32
150000	69	39
170000	79	42
190000	92	48
210000	97	53
230000	107	57
250000	118	62
270000	126	67
290000	134	73
310000	143	84
330000	153	83
350000	165	88
370000	178	93
390000	188	97
410000	190	110
430000	199	106
Prueba 16
N	basico	eficiente
50000	23	12
70000	34	17
90000	41	22
110000	52	27
130000	60	32
150000	69	38
170000	82	42
190000	88	47
210000	97	53
230000	107	72
250000	116	62
270000	126	67
290000	140	73
310000	143	78
330000	158	83
350000	162	88
370000	177	93
390000	181	105
410000	190	102
430000	207	107
Prueba 17
N	basico	eficiente
50000	22	12
70000	32	17
90000	41	22
110000	51	27
130000	60	32
150000	73	38
170000	79	42
190000	90	47
210000	97	57
230000	106	57
250000	115	62
270000	130	67
290000	134	73
310000	149	78
330000	153	89
350000	163	88
370000	171	100
390000	181	98
410000	197	102
430000	201	115
Prueba 18
N	basico	eficiente
50000	23	12
70000	33	17
90000	41	22
110000	51	27
130000	60	32
150000	69	39
170000	82	42
190000	89	47
210000	98	52
230000	107	61
250000	116	62
270000	126	67
290000	140	73
310000	143	78
330000	158	84
350000	163	88
370000	178	93
